rewrite,nbre_car
landouzy-la-cour,16,Landouzy-la-Cour
landouzy-la-ville,17,Landouzy-la-Ville
landricourt,11,Landricourt
laniscourt,10,Laniscourt
laon,4,Laon
lappion,7,Lappion
largny-sur-automne,18,Largny-sur-Automne
latilly,7,Latilly
launoy,6,Launoy
laval-en-laonnois,17,Laval-en-Laonnois
lavaqueresse,12,Lavaqueresse
laversine,9,Laversine
le-catelet,10,"Le Catelet"
le-charmel,10,"Le Charmel"
lehaucourt,10,Lehaucourt
le-herie-la-vieville,20,"Le Hérie-la-Viéville"
le-nouvion-en-thierache,23,"Le Nouvion-en-Thiérache"
le-plessier-huleu,17,"Le Plessier-Huleu"
le-sourd,8,"Le Sourd"
le-thuel,8,"Le Thuel"
le-verguier,11,"Le Verguier"
leme,4,Lemé
lempire,7,Lempire
lerzy,5,Lerzy
les-autels,10,"Les Autels"
leschelle,9,Leschelle
lesdins,7,Lesdins
lesges,6,Lesges
lesquielles-saint-germain,25,Lesquielles-Saint-Germain
leuilly-sous-coucy,18,Leuilly-sous-Coucy
leury,5,Leury
leuze,5,Leuze
levergies,9,Levergies
lhuys,5,Lhuys
licy-clignon,12,Licy-Clignon
lierval,7,Lierval
liesse-notre-dame,17,Liesse-Notre-Dame
liez,4,Liez
lime,4,Limé
lislet,6,Lislet
lizy,4,Lizy
logny-les-aubenton,18,Logny-lès-Aubenton
longpont,8,Longpont
longueval-barbonval,19,Longueval-Barbonval
lor,3,Lor
louatre,7,Louâtre
loupeigne,9,Loupeigne
lucy-le-bocage,14,Lucy-le-Bocage
lugny,5,Lugny
luzoir,6,Luzoir
ly-fontaine,11,Ly-Fontaine
maast-et-violaine,17,Maast-et-Violaine
machecourt,10,Mâchecourt
macogny,7,Macogny
macquigny,9,Macquigny
magny-la-fosse,14,Magny-la-Fosse
maissemy,8,Maissemy
maizy,5,Maizy
malzy,5,Malzy
manicamp,8,Manicamp
marchais,8,Marchais
marchais-en-brie,16,Marchais-en-Brie
marcy,5,Marcy
marcy-sous-marle,16,Marcy-sous-Marle
marest-dampcourt,16,Marest-Dampcourt
mareuil-en-dole,15,Mareuil-en-Dôle
marfontaine,11,Marfontaine
margival,8,Margival
marigny-en-orxois,17,Marigny-en-Orxois
marizy-saint-mard,17,Marizy-Saint-Mard
marizy-sainte-genevieve,23,Marizy-Sainte-Geneviève
marle,5,Marle
marly-gomont,12,Marly-Gomont
martigny,8,Martigny
martigny-courpierre,19,Martigny-Courpierre
mauregny-en-haye,16,Mauregny-en-Haye
mayot,5,Mayot
mennessis,9,Mennessis
menneville,10,Menneville
mennevret,9,Mennevret
mercin-et-vaux,14,Mercin-et-Vaux
merlieux-et-fouquerolles,24,Merlieux-et-Fouquerolles
merval,6,Merval
mesbrecourt-richecourt,22,Mesbrecourt-Richecourt
mesnil-saint-laurent,20,Mesnil-Saint-Laurent
meurival,8,Meurival
mezieres-sur-oise,17,Mézières-sur-Oise
mezy-moulins,12,Mézy-Moulins
missy-aux-bois,14,Missy-aux-Bois
missy-les-pierrepont,20,Missy-lès-Pierrepont
missy-sur-aisne,15,Missy-sur-Aisne
molain,6,Molain
molinchart,10,Molinchart
monampteuil,11,Monampteuil
monceau-le-neuf-et-faucouzy,27,Monceau-le-Neuf-et-Faucouzy
monceau-le-waast,16,Monceau-le-Waast
monceau-les-leups,17,Monceau-lès-Leups
monceau-sur-oise,16,Monceau-sur-Oise
mondrepuis,10,Mondrepuis
monnes,6,Monnes
mons-en-laonnois,16,Mons-en-Laonnois
mont-d-origny,13,Mont-d'Origny
mont-notre-dame,15,Mont-Notre-Dame
mont-saint-jean,15,Mont-Saint-Jean
mont-saint-martin,17,Mont-Saint-Martin
mont-saint-pere,15,Mont-Saint-Père
montaigu,8,Montaigu
montbavin,9,Montbavin
montbrehain,11,Montbrehain
montchalons,11,Montchâlons
montcornet,10,Montcornet
montescourt-lizerolles,22,Montescourt-Lizerolles
montfaucon,10,Montfaucon
montgobert,10,Montgobert
montgru-saint-hilaire,21,Montgru-Saint-Hilaire
monthenault,11,Monthenault
monthiers,9,Monthiers
monthurel,9,Monthurel
montigny-en-arrouaise,21,Montigny-en-Arrouaise
montigny-l-allier,17,Montigny-l'Allier
montigny-le-franc,17,Montigny-le-Franc
montigny-lengrain,17,Montigny-Lengrain
montigny-les-conde,18,Montigny-lès-Condé
montigny-sous-marle,19,Montigny-sous-Marle
montigny-sur-crecy,18,Montigny-sur-Crécy
montlevon,9,Montlevon
montloue,8,Montloué
montreuil-aux-lions,19,Montreuil-aux-Lions
morcourt,8,Morcourt
morgny-en-thierache,19,Morgny-en-Thiérache
morsain,7,Morsain
mortefontaine,13,Mortefontaine
mortiers,8,Mortiers
moulins,7,Moulins
moussy-verneuil,15,Moussy-Verneuil
moy-de-l-aisne,14,Moÿ-de-l'Aisne
muret-et-crouttes,17,Muret-et-Crouttes
muscourt,8,Muscourt
nampcelles-la-cour,18,Nampcelles-la-Cour
nampteuil-sous-muret,20,Nampteuil-sous-Muret
nanteuil-la-fosse,17,Nanteuil-la-Fosse
nanteuil-notre-dame,19,Nanteuil-Notre-Dame
nauroy,6,Nauroy
nesles-la-montagne,18,Nesles-la-Montagne
neufchatel-sur-aisne,20,Neufchâtel-sur-Aisne
neuflieux,9,Neuflieux
neuilly-saint-front,19,Neuilly-Saint-Front
neuve-maison,12,Neuve-Maison
neuville-saint-amand,20,Neuville-Saint-Amand
neuville-sur-ailette,20,Neuville-sur-Ailette
neuville-sur-margival,21,Neuville-sur-Margival
neuvillette,11,Neuvillette
nizy-le-comte,13,Nizy-le-Comte
nogent-l-artaud,15,Nogent-l'Artaud
nogentel,8,Nogentel
noircourt,9,Noircourt
noroy-sur-ourcq,15,Noroy-sur-Ourcq
nouvion-et-catillon,19,Nouvion-et-Catillon
nouvion-le-comte,16,Nouvion-le-Comte
nouvion-le-vineux,17,Nouvion-le-Vineux
nouvron-vingre,14,Nouvron-Vingré
noyales,7,Noyales
noyant-et-aconin,16,Noyant-et-Aconin
oeuilly,7,Oeuilly
ognes,5,Ognes
ohis,4,Ohis
oigny-en-valois,15,Oigny-en-Valois
oisy,4,Oisy
ollezy,6,Ollezy
omissy,6,Omissy
orainville,10,Orainville
orgeval,7,Orgeval
origny-en-thierache,19,Origny-en-Thiérache
origny-sainte-benoite,21,Origny-Sainte-Benoite
osly-courtil,12,Osly-Courtil
ostel,5,Ostel
oulches-la-vallee-foulon,24,Oulches-la-Vallée-Foulon
oulchy-la-ville,15,Oulchy-la-Ville
oulchy-le-chateau,17,Oulchy-le-Château
paars,5,Paars
paissy,6,Paissy
pancy-courtecon,15,Pancy-Courtecon
papleux,7,Papleux
parcy-et-tigny,14,Parcy-et-Tigny
parfondeval,11,Parfondeval
parfondru,9,Parfondru
pargnan,7,Pargnan
pargny-filain,13,Pargny-Filain
pargny-la-dhuys,15,Pargny-la-Dhuys
pargny-les-bois,15,Pargny-les-Bois
parpeville,10,Parpeville
pasly,5,Pasly
passy-en-valois,15,Passy-en-Valois
passy-sur-marne,15,Passy-sur-Marne
pavant,6,Pavant
perles,6,Perles
pernant,7,Pernant
petit-verly,11,Petit-Verly
pierremande,11,Pierremande
pierrepont,10,Pierrepont
pignicourt,10,Pignicourt
pinon,5,Pinon
pithon,6,Pithon
pleine-selve,12,Pleine-Selve
ploisy,6,Ploisy
plomion,7,Plomion
ployart-et-vaurseine,20,Ployart-et-Vaurseine
pommiers,8,Pommiers
pont-arcy,9,Pont-Arcy
pont-saint-mard,15,Pont-Saint-Mard
pontavert,9,Pontavert
pontru,6,Pontru
pontruet,8,Pontruet
pouilly-sur-serre,17,Pouilly-sur-Serre
premont,7,Prémont
premontre,9,Prémontré
presles-et-boves,16,Presles-et-Boves
presles-et-thierny,18,Presles-et-Thierny
priez,5,Priez
prisces,7,Prisces
proisy,6,Proisy
proix,5,Proix
prouvais,8,Prouvais
proviseux-et-plesnoy,20,Proviseux-et-Plesnoy
puiseux-en-retz,15,Puiseux-en-Retz
puisieux-et-clanlieu,20,Puisieux-et-Clanlieu
quierzy,7,Quierzy
quincy-basse,12,Quincy-Basse
quincy-sous-le-mont,19,Quincy-sous-le-Mont
raillimont,10,Raillimont
ramicourt,9,Ramicourt
regny,5,Regny
remaucourt,10,Remaucourt
remies,6,Remies
remigny,7,Remigny
renansart,9,Renansart
renneval,8,Renneval
resigny,7,Résigny
ressons-le-long,15,Ressons-le-Long
retheuil,8,Retheuil
reuilly-sauvigny,16,Reuilly-Sauvigny
revillon,8,Révillon
ribeauville,11,Ribeauville
ribemont,8,Ribemont
rocourt-saint-martin,20,Rocourt-Saint-Martin
rocquigny,9,Rocquigny
rogecourt,9,Rogécourt
rogny,5,Rogny
romeny-sur-marne,16,Romeny-sur-Marne
romery,6,Romery
roncheres,9,Ronchères
roucy,5,Roucy
rougeries,9,Rougeries
roupy,5,Roupy
rouvroy,7,Rouvroy
rouvroy-sur-serre,17,Rouvroy-sur-Serre
royaucourt-et-chailvet,22,Royaucourt-et-Chailvet
rozet-saint-albin,17,Rozet-Saint-Albin
rozieres-sur-crise,18,Rozières-sur-Crise
rozoy-bellevalle,16,Rozoy-Bellevalle
rozoy-sur-serre,15,Rozoy-sur-Serre
saconin-et-breuil,17,Saconin-et-Breuil
sains-richaumont,16,Sains-Richaumont
saint-agnan,11,Saint-Agnan
saint-algis,11,Saint-Algis
saint-aubin,11,Saint-Aubin
saint-bandry,12,Saint-Bandry
saint-christophe-a-berry,24,Saint-Christophe-à-Berry
saint-clement,13,Saint-Clément
saint-erme-outre-et-ramecourt,29,Saint-Erme-Outre-et-Ramecourt
saint-eugene,12,Saint-Eugène
saint-gengoulph,15,Saint-Gengoulph
saint-gobain,12,Saint-Gobain
saint-gobert,12,Saint-Gobert
saint-mard,10,Saint-Mard
saint-martin-riviere,20,Saint-Martin-Rivière
saint-michel,12,Saint-Michel
saint-nicolas-aux-bois,22,Saint-Nicolas-aux-Bois
saint-paul-aux-bois,19,Saint-Paul-aux-Bois
saint-pierre-aigle,18,Saint-Pierre-Aigle
saint-pierre-les-franqueville,29,Saint-Pierre-lès-Franqueville
saint-pierremont,16,Saint-Pierremont
saint-quentin,13,Saint-Quentin
saint-remy-blanzy,17,Saint-Rémy-Blanzy
saint-simon,11,Saint-Simon
saint-thibaut,13,Saint-Thibaut
saint-thomas,12,Saint-Thomas
sainte-croix,12,Sainte-Croix
sainte-genevieve,16,Sainte-Geneviève
sainte-preuve,13,Sainte-Preuve
samoussy,8,Samoussy
sancy-les-cheminots,19,Sancy-les-Cheminots
saponay,7,Saponay
saulchery,9,Saulchery
savy,4,Savy
seboncourt,10,Seboncourt
selens,6,Selens
septmonts,9,Septmonts
septvaux,8,Septvaux
sequehart,9,Sequehart
serain,6,Serain
seraucourt-le-grand,19,Seraucourt-le-Grand
serches,7,Serches
sergy,5,Sergy
seringes-et-nesles,18,Seringes-et-Nesles
sermoise,8,Sermoise
servais,7,Servais
serval,6,Serval
sery-les-mezieres,17,Séry-lès-Mézières
silly-la-poterie,16,Silly-la-Poterie
sinceny,7,Sinceny
sissonne,8,Sissonne
sissy,5,Sissy
soissons,8,Soissons
soize,5,Soize
sommelans,9,Sommelans
sommeron,8,Sommeron
sommette-eaucourt,17,Sommette-Eaucourt
sons-et-roncheres,17,Sons-et-Ronchères
sorbais,7,Sorbais
soucy,5,Soucy
soupir,6,Soupir
surfontaine,11,Surfontaine
suzy,4,Suzy
taillefontaine,14,Taillefontaine
tannieres,9,Tannières
tartiers,8,Tartiers
tavaux-et-pontsericourt,23,Tavaux-et-Pontséricourt
tergnier,8,Tergnier
terny-sorny,11,Terny-Sorny
thenailles,10,Thenailles
thenelles,9,Thenelles
thiernu,7,Thiernu
torcy-en-valois,15,Torcy-en-Valois
toulis-et-attencourt,20,Toulis-et-Attencourt
travecy,7,Travecy
trefcon,7,Trefcon
trelou-sur-marne,16,Trélou-sur-Marne
troesnes,8,Troësnes
trosly-loire,12,Trosly-Loire
trucy,5,Trucy
tugny-et-pont,13,Tugny-et-Pont
tupigny,7,Tupigny
ugny-le-gay,11,Ugny-le-Gay
urcel,5,Urcel
urvillers,9,Urvillers
vadencourt,10,Vadencourt
vailly-sur-aisne,16,Vailly-sur-Aisne
variscourt,10,Variscourt
vassens,7,Vassens
vasseny,7,Vasseny
vassogne,8,Vassogne
vaucelles-et-beffecourt,23,Vaucelles-et-Beffecourt
vaudesson,9,Vaudesson
vaux-andigny,12,Vaux-Andigny
vaux-en-vermandois,18,Vaux-en-Vermandois
vauxaillon,10,Vauxaillon
vauxbuin,8,Vauxbuin
vauxcere,8,Vauxcéré
vauxrezis,9,Vauxrezis
vauxtin,7,Vauxtin
vendelles,9,Vendelles
vendeuil,8,Vendeuil
vendhuile,9,Vendhuile
vendieres,9,Vendières
vendresse-beaulne,17,Vendresse-Beaulne
venerolles,10,Vénérolles
venizel,7,Venizel
verdilly,8,Verdilly
vermand,7,Vermand
verneuil-sous-coucy,19,Verneuil-sous-Coucy
verneuil-sur-serre,18,Verneuil-sur-Serre
versigny,8,Versigny
vervins,7,Vervins
vesles-et-caumont,17,Vesles-et-Caumont
veslud,6,Veslud
veuilly-la-poterie,18,Veuilly-la-Poterie
vezaponin,9,Vézaponin
vezilly,7,Vézilly
vic-sur-aisne,13,Vic-sur-Aisne
vichel-nanteuil,15,Vichel-Nanteuil
viel-arcy,9,Viel-Arcy
viels-maisons,13,Viels-Maisons
vierzy,6,Vierzy
viffort,7,Viffort
vigneux-hocquet,15,Vigneux-Hocquet
ville-savoye,12,Ville-Savoye
villemontoire,13,Villemontoire
villeneuve-saint-germain,24,Villeneuve-Saint-Germain
villeneuve-sur-fere,19,Villeneuve-sur-Fère
villequier-aumont,17,Villequier-Aumont
villeret,8,Villeret
villers-agron-aiguizy,21,Villers-Agron-Aiguizy
villers-cotterets,17,Villers-Cotterêts
villers-en-prayeres,19,Villers-en-Prayères
villers-helon,13,Villers-Hélon
villers-le-sec,14,Villers-le-Sec
villers-les-guise,17,Villers-lès-Guise
villers-saint-christophe,24,Villers-Saint-Christophe
villers-sur-fere,16,Villers-sur-Fère
villiers-saint-denis,20,Villiers-Saint-Denis
vincy-reuil-et-magny,20,Vincy-Reuil-et-Magny
viry-noureuil,13,Viry-Noureuil
vivaise,7,Vivaise
vivieres,8,Vivières
voharies,8,Voharies
vorges,6,Vorges
voulpaix,8,Voulpaix
voyenne,7,Voyenne
vregny,6,Vregny
vuillery,8,Vuillery
wassigny,8,Wassigny
watigny,7,Watigny
wiege-faty,10,Wiège-Faty
wimy,4,Wimy
wissignicourt,13,Wissignicourt
abrest,6,Abrest
agonges,7,Agonges
ainay-le-chateau,16,Ainay-le-Château
andelaroche,11,Andelaroche
archignat,9,Archignat
arfeuilles,10,Arfeuilles
arpheuilles-saint-priest,24,Arpheuilles-Saint-Priest
arronnes,8,Arronnes
aubigny,7,Aubigny
audes,5,Audes
aurouer,7,Aurouër
autry-issards,13,Autry-Issards
avermes,7,Avermes
avrilly,7,Avrilly
bagneux,7,Bagneux
barberier,9,Barberier
barrais-bussolles,17,Barrais-Bussolles
bayet,5,Bayet
beaulon,7,Beaulon
beaune-d-allier,15,Beaune-d'Allier
begues,6,Bègues
bellenaves,10,Bellenaves
bellerive-sur-allier,20,Bellerive-sur-Allier
bert,4,Bert
bessay-sur-allier,17,Bessay-sur-Allier
besson,6,Besson
bezenet,7,Bézenet
billezois,9,Billezois
billy,5,Billy
biozat,6,Biozat
bizeneuille,11,Bizeneuille
blomard,7,Blomard
bost,4,Bost
bouce,5,Boucé
bourbon-l-archambault,21,Bourbon-l'Archambault
braize,6,Braize
bransat,7,Bransat
bresnay,7,Bresnay
bressolles,10,Bressolles
brout-vernet,12,Broût-Vernet
brugheas,8,Brugheas
busset,6,Busset
buxieres-les-mines,18,Buxières-les-Mines
cerilly,7,Cérilly
cesset,6,Cesset
chamberat,9,Chambérat
chamblet,8,Chamblet
chantelle,9,Chantelle
chapeau,7,Chapeau
chappes,7,Chappes
chareil-cintrat,15,Chareil-Cintrat
charmeil,8,Charmeil
charmes,7,Charmes
charroux,8,Charroux
chassenard,10,Chassenard
chateau-sur-allier,18,Château-sur-Allier
chatel-de-neuvre,16,Châtel-de-Neuvre
chatel-montagne,15,Châtel-Montagne
chatelperron,12,Châtelperron
chatelus,8,Châtelus
chatillon,9,Châtillon
chavenon,8,Chavenon
chavroches,10,Chavroches
chazemais,9,Chazemais
chemilly,8,Chemilly
chevagnes,9,Chevagnes
chezelle,8,Chezelle
chezy,5,Chézy
chirat-l-eglise,15,Chirat-l'Eglise
chouvigny,9,Chouvigny
cindre,6,Cindré
cognat-lyonne,13,Cognat-Lyonne
colombier,9,Colombier
commentry,9,Commentry
contigny,8,Contigny
cosne-d-allier,14,Cosne-d'Allier
coulandon,9,Coulandon
coulanges,9,Coulanges
couleuvre,9,Couleuvre
courcais,8,Courçais
coutansouze,11,Coutansouze
couzon,6,Couzon
crechy,6,Créchy
cressanges,10,Cressanges
creuzier-le-neuf,16,Creuzier-le-Neuf
creuzier-le-vieux,17,Creuzier-le-Vieux
cusset,6,Cusset
deneuille-les-chantelle,23,Deneuille-lès-Chantelle
deneuille-les-mines,19,Deneuille-les-Mines
desertines,10,Désertines
deux-chaises,12,Deux-Chaises
diou,4,Diou
domerat,7,Domérat
dompierre-sur-besbre,20,Dompierre-sur-Besbre
doyet,5,Doyet
droiturier,10,Droiturier
durdat-larequille,17,Durdat-Larequille
ebreuil,7,Ebreuil
echassieres,11,Echassières
escurolles,10,Escurolles
espinasse-vozelle,17,Espinasse-Vozelle
estivareilles,13,Estivareilles
etroussat,9,Etroussat
ferrieres-sur-sichon,20,Ferrières-sur-Sichon
fleuriel,8,Fleuriel
fourilles,9,Fourilles
franchesse,10,Franchesse
gannat,6,Gannat
gannay-sur-loire,16,Gannay-sur-Loire
garnat-sur-engievre,19,Garnat-sur-Engièvre
gennetines,10,Gennetines
gipcy,5,Gipcy
givarlais,9,Givarlais
gouise,6,Gouise
hauterive,9,Hauterive
herisson,8,Hérisson
huriel,6,Huriel
hyds,4,Hyds
isle-et-bardais,15,Isle-et-Bardais
isserpent,9,Isserpent
jaligny-sur-besbre,18,Jaligny-sur-Besbre
jenzat,6,Jenzat
la-celle,8,"La Celle"
la-chabanne,11,"La Chabanne"
la-chapelaude,13,"La Chapelaude"
la-chapelle,11,"La Chapelle"
la-chapelle-aux-chasses,23,"La Chapelle-aux-Chasses"
la-ferte-hauterive,18,"La Ferté-Hauterive"
la-guillermie,13,"La Guillermie"
la-petite-marche,16,"La Petite-Marche"
lafeline,8,Laféline
lalizolle,9,Lalizolle
lamaids,7,Lamaids
langy,5,Langy
lapalisse,9,Lapalisse
laprugne,8,Laprugne
lavault-sainte-anne,19,Lavault-Sainte-Anne
lavoine,7,Lavoine
le-bouchaud,11,"Le Bouchaud"
le-brethon,10,"Le Brethon"
le-breuil,9,"Le Breuil"
le-donjon,9,"Le Donjon"
le-mayet-d-ecole,16,"Le Mayet-d'Ecole"
le-mayet-de-montagne,20,"Le Mayet-de-Montagne"
le-montet,9,"Le Montet"
le-pin,6,"Le Pin"
le-theil,8,"Le Theil"
le-vernet,9,"Le Vernet"
le-veurdre,10,"Le Veurdre"
le-vilhain,10,"Le Vilhain"
lenax,5,Lenax
letelon,7,Lételon
liernolles,10,Liernolles
lignerolles,11,Lignerolles
limoise,7,Limoise
loddes,6,Loddes
loriges,7,Loriges
louchy-montfand,15,Louchy-Montfand
louroux-bourbonnais,19,Louroux-Bourbonnais
louroux-de-beaune,17,Louroux-de-Beaune
louroux-de-bouble,17,Louroux-de-Bouble
louroux-hodement,16,Louroux-Hodement
luneau,6,Luneau
lurcy-levis,11,Lurcy-Lévis
lusigny,7,Lusigny
magnet,6,Magnet
maillet,7,Maillet
malicorne,9,Malicorne
marcenat,8,Marcenat
marcillat-en-combraille,23,Marcillat-en-Combraille
marigny,7,Marigny
mariol,6,Mariol
mazerier,8,Mazerier
mazirat,7,Mazirat
meaulne,7,Meaulne
meillard,8,Meillard
meillers,8,Meillers
mercy,5,Mercy
mesples,7,Mesples
molinet,7,Molinet
molles,6,Molles
monestier,9,Monestier
monetay-sur-allier,18,Monétay-sur-Allier
monetay-sur-loire,17,Monétay-sur-Loire
montaigu-le-blin,16,Montaigu-le-Blin
montaiguet-en-forez,19,Montaiguët-en-Forez
montbeugny,10,Montbeugny
montcombroux-les-mines,22,Montcombroux-les-Mines
monteignet-sur-l-andelot,24,Monteignet-sur-l'Andelot
montilly,8,Montilly
montlucon,9,Montluçon
montmarault,11,Montmarault
montoldre,9,Montoldre
montord,7,Montord
montvicq,8,Montvicq
moulins,7,Moulins
murat,5,Murat
nades,5,Nades
nassigny,8,Nassigny
naves,5,Naves
neris-les-bains,15,Néris-les-Bains
neuilly-en-donjon,17,Neuilly-en-Donjon
neuilly-le-real,15,Neuilly-le-Réal
neure,5,Neure
neuvy,5,Neuvy
nizerolles,10,Nizerolles
noyant-d-allier,15,Noyant-d'Allier
paray-le-fresil,15,Paray-le-Frésil
paray-sous-briailles,20,Paray-sous-Briailles
perigny,7,Périgny
pierrefitte-sur-loire,21,Pierrefitte-sur-Loire
poezat,6,Poëzat
pouzy-mesangy,13,Pouzy-Mésangy
premilhat,9,Prémilhat
quinssaines,11,Quinssaines
reugny,6,Reugny
rocles,6,Rocles
rongeres,8,Rongères
ronnet,6,Ronnet
saint-angel,11,Saint-Angel
saint-aubin-le-monial,21,Saint-Aubin-le-Monial
saint-bonnet-de-four,20,Saint-Bonnet-de-Four
saint-bonnet-de-rochefort,25,Saint-Bonnet-de-Rochefort
saint-bonnet-troncais,21,Saint-Bonnet-Tronçais
saint-caprais,13,Saint-Caprais
saint-christophe,16,Saint-Christophe
saint-clement,13,Saint-Clément
saint-desire,12,Saint-Désiré
saint-didier-en-donjon,22,Saint-Didier-en-Donjon
saint-didier-la-foret,21,Saint-Didier-la-Forêt
saint-eloy-d-allier,19,Saint-Eloy-d'Allier
saint-ennemond,14,Saint-Ennemond
saint-etienne-de-vicq,21,Saint-Etienne-de-Vicq
saint-fargeol,13,Saint-Fargeol
saint-felix,11,Saint-Félix
saint-genest,12,Saint-Genest
saint-gerand-de-vaux,20,Saint-Gérand-de-Vaux
saint-gerand-le-puy,19,Saint-Gérand-le-Puy
saint-germain-de-salles,23,Saint-Germain-de-Salles
saint-germain-des-fosses,24,Saint-Germain-des-Fossés
saint-hilaire,13,Saint-Hilaire
saint-leger-sur-vouzance,24,Saint-Léger-sur-Vouzance
saint-leon,10,Saint-Léon
saint-leopardin-d-augy,22,Saint-Léopardin-d'Augy
saint-loup,10,Saint-Loup
saint-marcel-en-marcillat,25,Saint-Marcel-en-Marcillat
saint-marcel-en-murat,21,Saint-Marcel-en-Murat
saint-martin-des-lais,21,Saint-Martin-des-Lais
saint-martinien,15,Saint-Martinien
saint-menoux,12,Saint-Menoux
saint-nicolas-des-biefs,23,Saint-Nicolas-des-Biefs
saint-palais,12,Saint-Palais
saint-pierre-laval,18,Saint-Pierre-Laval
saint-plaisir,13,Saint-Plaisir
saint-pont,10,Saint-Pont
saint-pourcain-sur-besbre,25,Saint-Pourçain-sur-Besbre
saint-pourcain-sur-sioule,25,Saint-Pourçain-sur-Sioule
saint-priest-d-andelot,22,Saint-Priest-d'Andelot
saint-priest-en-murat,21,Saint-Priest-en-Murat
saint-prix,10,Saint-Prix
saint-remy-en-rollat,20,Saint-Rémy-en-Rollat
saint-sauvier,13,Saint-Sauvier
saint-sornin,12,Saint-Sornin
saint-victor,12,Saint-Victor
saint-voir,10,Saint-Voir
saint-yorre,11,Saint-Yorre
sainte-therence,15,Sainte-Thérence
saligny-sur-roudon,18,Saligny-sur-Roudon
sanssat,7,Sanssat
saulcet,7,Saulcet
saulzet,7,Saulzet
sauvagny,8,Sauvagny
sazeret,7,Sazeret
serbannes,9,Serbannes
servilly,8,Servilly
seuillet,8,Seuillet
sorbier,7,Sorbier
souvigny,8,Souvigny
sussat,6,Sussat
target,6,Target
taxat-senat,11,Taxat-Senat
teillet-argenty,15,Teillet-Argenty
terjat,6,Terjat
theneuille,10,Theneuille
thiel-sur-acolin,16,Thiel-sur-Acolin
thionne,7,Thionne
tortezais,9,Tortezais
toulon-sur-allier,17,Toulon-sur-Allier
treban,6,Treban
treignat,8,Treignat
treteau,7,Treteau
trevol,6,Trévol
trezelles,9,Trézelles
tronget,7,Tronget
urcay,5,Urçay
ussel-d-allier,14,Ussel-d'Allier
valignat,8,Valignat
valigny,7,Valigny
vallon-en-sully,15,Vallon-en-Sully
varennes-sur-allier,19,Varennes-sur-Allier
varennes-sur-teche,18,Varennes-sur-Tèche
vaumas,6,Vaumas
vaux,4,Vaux
veauce,6,Veauce
venas,5,Venas
vendat,6,Vendat
verneix,7,Verneix
verneuil-en-bourbonnais,23,Verneuil-en-Bourbonnais
vernusse,8,Vernusse
vichy,5,Vichy
vicq,4,Vicq
vieure,6,Vieure
villebret,9,Villebret
villefranche-d-allier,21,Villefranche-d'Allier
villeneuve-sur-allier,21,Villeneuve-sur-Allier
viplaix,7,Viplaix
vitray,6,Vitray
voussac,7,Voussac
ygrande,7,Ygrande
yzeure,6,Yzeure
aiglun,6,Aiglun
allemagne-en-provence,21,Allemagne-en-Provence
allons,6,Allons
allos,5,Allos
angles,6,Angles
annot,5,Annot
archail,7,Archail
aubenas-les-alpes,17,Aubenas-les-Alpes
aubignosc,9,Aubignosc
authon,6,Authon
auzet,5,Auzet
banon,5,Banon
barcelonnette,13,Barcelonnette
barles,6,Barles
barras,6,Barras
barreme,7,Barrême
bayons,6,Bayons
beaujeu,7,Beaujeu
beauvezer,9,Beauvezer
bellaffaire,11,Bellaffaire
bevons,6,Bevons
beynes,6,Beynes
blieux,6,Blieux
bras-d-asse,11,Bras-d'Asse
braux,5,Braux
brunet,6,Brunet
castellane,10,Castellane
castellet-les-sausses,21,Castellet-lès-Sausses
cereste,7,Céreste
champtercier,12,Champtercier
chateau-arnoux-saint-auban,26,Château-Arnoux-Saint-Auban
chateaufort,11,Châteaufort
chateauneuf-miravail,20,Châteauneuf-Miravail
chateauneuf-val-saint-donat,27,Châteauneuf-Val-Saint-Donat
chateauredon,12,Châteauredon
chaudon-norante,15,Chaudon-Norante
clamensane,10,Clamensane
claret,6,Claret
clumanc,7,Clumanc
colmars,7,Colmars
corbieres,9,Corbières
cruis,5,Cruis
curbans,7,Curbans
curel,5,Curel
dauphin,7,Dauphin
demandolx,9,Demandolx
digne-les-bains,15,Digne-les-Bains
draix,5,Draix
enchastrayes,12,Enchastrayes
entrages,8,Entrages
entrepierres,12,Entrepierres
entrevaux,9,Entrevaux
entrevennes,11,Entrevennes
esparron-de-verdon,18,Esparron-de-Verdon
estoublon,9,Estoublon
faucon-de-barcelonnette,23,Faucon-de-Barcelonnette
faucon-du-caire,15,Faucon-du-Caire
fontienne,9,Fontienne
forcalquier,11,Forcalquier
ganagobie,9,Ganagobie
gigors,6,Gigors
greoux-les-bains,16,Gréoux-les-Bains
hautes-duyes,12,Hautes-Duyes
jausiers,8,Jausiers
l-escale,8,L'Escale
l-hospitalet,12,L'Hospitalet
la-breole,9,"La Bréole"
la-brillanne,12,"La Brillanne"
la-condamine-chatelard,22,"La Condamine-Châtelard"
la-garde,8,"La Garde"
la-javie,8,"La Javie"
la-motte-du-caire,17,"La Motte-du-Caire"
la-mure-argens,14,"La Mure-Argens"
la-palud-sur-verdon,19,"La Palud-sur-Verdon"
la-robine-sur-galabre,21,"La Robine-sur-Galabre"
la-rochegiron,13,"La Rochegiron"
la-rochette,11,"La Rochette"
lambruisse,10,Lambruisse
larche,6,Larche
lardiers,8,Lardiers
le-brusquet,11,"Le Brusquet"
le-caire,8,"Le Caire"
