rewrite,nbre_car
braye-en-laonnois,17,Braye-en-Laonnois
braye-en-thierache,18,Braye-en-Thiérache
brecy,5,Brécy
brenelle,8,Brenelle
breny,5,Breny
brie,4,Brie
brissay-choigny,15,Brissay-Choigny
brissy-hamegicourt,18,Brissy-Hamégicourt
brumetz,7,Brumetz
brunehamel,10,Brunehamel
bruyeres-et-montberault,23,Bruyères-et-Montbérault
bruyeres-sur-fere,17,Bruyères-sur-Fère
bruys,5,Bruys
bucilly,7,Bucilly
bucy-le-long,12,Bucy-le-Long
bucy-les-cerny,14,Bucy-lès-Cerny
bucy-les-pierrepont,19,Bucy-lès-Pierrepont
buire,5,Buire
buironfosse,11,Buironfosse
burelles,8,Burelles
bussiares,9,Bussiares
buzancy,7,Buzancy
caillouel-crepigny,18,Caillouël-Crépigny
camelin,7,Camelin
castres,7,Castres
caulaincourt,12,Caulaincourt
caumont,7,Caumont
celles-les-conde,16,Celles-lès-Condé
celles-sur-aisne,16,Celles-sur-Aisne
cerizy,6,Cerizy
cerny-en-laonnois,17,Cerny-en-Laonnois
cerny-les-bucy,14,Cerny-lès-Bucy
cerseuil,8,Cerseuil
cessieres,9,Cessières
chacrise,8,Chacrise
chaillevois,11,Chaillevois
chalandry,9,Chalandry
chambry,7,Chambry
chamouille,10,Chamouille
champs,6,Champs
chaourse,8,Chaourse
charly-sur-marne,16,Charly-sur-Marne
charmes,7,Charmes
charteves,9,Chartèves
chassemy,8,Chassemy
chateau-thierry,15,Château-Thierry
chatillon-les-sons,18,Châtillon-lès-Sons
chatillon-sur-oise,18,Châtillon-sur-Oise
chaudardes,10,Chaudardes
chaudun,7,Chaudun
chauny,6,Chauny
chavignon,9,Chavignon
chavigny,8,Chavigny
chavonne,8,Chavonne
cheret,6,Chérêt
chermizy-ailles,15,Chermizy-Ailles
chery-chartreuve,16,Chéry-Chartreuve
chery-les-pouilly,17,Chéry-lès-Pouilly
chery-les-rozoy,15,Chéry-lès-Rozoy
chevennes,9,Chevennes
chevregny,9,Chevregny
chevresis-monceau,17,Chevresis-Monceau
chezy-en-orxois,15,Chézy-en-Orxois
chezy-sur-marne,15,Chézy-sur-Marne
chierry,7,Chierry
chigny,6,Chigny
chivres-en-laonnois,19,Chivres-en-Laonnois
chivres-val,11,Chivres-Val
chivy-les-etouvelles,20,Chivy-lès-Etouvelles
chouy,5,Chouy
cierges,7,Cierges
cilly,5,Cilly
ciry-salsogne,13,Ciry-Salsogne
clacy-et-thierret,17,Clacy-et-Thierret
clairfontaine,13,Clairfontaine
clamecy,7,Clamecy
clastres,8,Clastres
clermont-les-fermes,19,Clermont-les-Fermes
coeuvres-et-valsery,19,Coeuvres-et-Valsery
coincy,6,Coincy
coingt,6,Coingt
colligis-crandelain,19,Colligis-Crandelain
colonfay,8,Colonfay
commenchon,10,Commenchon
concevreux,10,Concevreux
conde-en-brie,13,Condé-en-Brie
conde-sur-aisne,15,Condé-sur-Aisne
conde-sur-suippe,16,Condé-sur-Suippe
condren,7,Condren
connigis,8,Connigis
contescourt,11,Contescourt
corbeny,7,Corbeny
corcy,5,Corcy
coucy-la-ville,14,Coucy-la-Ville
coucy-le-chateau-auffrique,26,Coucy-le-Château-Auffrique
coucy-les-eppes,15,Coucy-lès-Eppes
coulonges-cohan,15,Coulonges-Cohan
coupru,6,Coupru
courbes,7,Courbes
courboin,8,Courboin
courcelles-sur-vesle,20,Courcelles-sur-Vesle
courchamps,10,Courchamps
courmelles,10,Courmelles
courmont,8,Courmont
courtemont-varennes,19,Courtemont-Varennes
courtrizy-et-fussigny,21,Courtrizy-et-Fussigny
couvrelles,10,Couvrelles
couvron-et-aumencourt,21,Couvron-et-Aumencourt
coyolles,8,Coyolles
cramaille,9,Cramaille
craonne,7,Craonne
craonnelle,10,Craonnelle
crecy-au-mont,13,Crécy-au-Mont
crecy-sur-serre,15,Crécy-sur-Serre
crepy,5,Crépy
crezancy,8,Crézancy
croix-fonsomme,14,Croix-Fonsomme
crouttes-sur-marne,18,Crouttes-sur-Marne
crouy,5,Crouy
crupilly,8,Crupilly
cuffies,7,Cuffies
cugny,5,Cugny
cuirieux,8,Cuirieux
cuiry-housse,12,Cuiry-Housse
cuiry-les-chaudardes,20,Cuiry-lès-Chaudardes
