rewrite,gentile_f_ville,nbre_car
nantolienne,Nantolienne,11
nauroisienne,Nauroisienne,12
nesloise,Nesloise,8
neufchateloise,Neufchâteloise,14
frontonnaise,Frontonnaise,12
neuve-maisonnaise,Neuve-Maisonnaise,17
neuvilloise,Neuvilloise,11
neuvilloise,Neuvilloise,11
nizioise,Nizioise,8
nogentaise,Nogentaise,10
nogentelloise,Nogentelloise,13
noroisienne,Noroisienne,11
nouvionnaise,Nouvionnaise,12
nouvionnaise,Nouvionnaise,12
nouvronnaise,Nouvronnaise,12
noyantaise,Noyantaise,10
uliacoise,Uliacoise,9
ognoise,Ognoise,7
ohissoise,Ohissoise,9
ogniacienne,Ogniacienne,11
oiseenne,Oiséenne,8
ulmissienne,Ulmissienne,11
orainvilloise,Orainvilloise,13
aurinienne,Aurinienne,10
orignaquoise,Orignaquoise,12
ulcheenne,Ulchéenne,9
paareenne,Paaréenne,9
paissoise,Paissoise,9
pancyacoise,Pancyacoise,11
papleusienne,Papleusienne,12
parcyacoise,Parcyacoise,11
pargnantaise,Pargnantaise,12
pargnysienne,Pargnysienne,12
pargnysienne,Pargnysienne,12
paslysienne,Paslysienne,11
pavanaise,Pavanaise,9
perloise,Perloise,8
pernantaise,Pernantaise,11
verlyzienne,Verlyzienne,11
pierremandoise,Pierremandoise,14
pierrepontoise,Pierrepontoise,14
pignicourtoise,Pignicourtoise,14
pinonaise,Pinonaise,9
pithonaise,Pithonaise,10
plomionaise,Plomionaise,11
ployartaise,Ployartaise,11
pommeramienne,Pommeramienne,13
saint-mard-pontaine,Saint-Mard-Pontaine,19
pontavertoise,Pontavertoise,13
russipontaine,Russipontaine,13
pontruetoise,Pontruétoise,12
pauliacienne,Pauliacienne,12
premontoise,Prémontoise,11
premontroise,Prémontroise,12
presloise,Presloise,9
presloise,Presloise,9
prouvaisienne,Prouvaisienne,13
provisiolaine,Provisiolaine,13
podiscaine,Podiscaine,10
puteolienne,Putéolienne,11
cherizienne,Cherizienne,11
quinciacoise,Quinciacoise,12
raillimontoise,Raillimontoise,14
ramicourtoise,Ramicourtoise,13
regniaquoise,Regniaquoise,12
remaucourtoise,Remaucourtoise,14
remignoise,Remignoise,10
renansartoise,Renansartoise,13
rennevaloise,Rennevaloise,12
resignienne,Résignienne,11
ressonnaise,Ressonnaise,11
retheuilloise,Retheuilloise,13
revillonaise,Révillonaise,12
ribemontoise,Ribemontoise,12
rocourtoise,Rocourtoise,11
rocquignienne,Rocquignienne,13
rogecourtoise,Rogécourtoise,13
romenyate,Romenyate,9
romaine,Romaine,7
roucyenne,Roucyenne,9
royaucourtoise,Royaucourtoise,14
rozieroise,Roziéroise,10
rostande,Rostande,8
saconoise,Saconoise,9
sainsoise,Sainsoise,9
augisoise,Augisoise,9
blaise,Blaise,6
saint-christophoise,Saint-Christophoise,19
saint-ermoise,Saint-Ermoise,13
saint-eugenoise,Saint-Eugénoise,15
saint-gengoulphoise,Saint-Gengoulphoise,19
gobanaise,Gobanaise,9
saint-gobertoise,Saint-Gobertoise,16
saint-michelloise,Saint-Michelloise,17
saint-pierroise,Saint-Pierroise,15
saint-quentinoise,Saint-Quentinoise,17
saint-simonienne,Saint-Simonienne,16
saint-thomasienne,Saint-Thomasienne,17
saint-croisienne,Saint-Croisienne,16
sainte-preuvienne,Sainte-Preuvienne,17
sancysienne,Sancysienne,11
saulcherienne,Saulcherienne,13
savignonne,Savignonne,10
seboncourtoise,Seboncourtoise,14
septmontoise,Septmontoise,12
septvalienne,Septvalienne,12
