rewrite,gentile_f_ville
biozatoise,Biozatoise
bizeneuilloise,Bizeneuilloise
blomardaise,Blomardaise
bostoise,Bostoise
bourbonnaise,Bourbonnaise
braizoise,Braizoise
bransatoise,Bransatoise
brenaissoise,Brénaissoise
bressolloise,Bressolloise
brout-vernetoise,Broût-Vernetoise
brugheassoise,Brugheassoise
bussetoise,Bussétoise
buxieroise,Buxiéroise
cerilloise,Cérilloise
cessetoise,Cessetoise
chamberatoise,Chambératoise
chambletoise,Chambletoise
chantelloise,Chantelloise
chapeautoise,Chapeautoise
chappoise,Chappoise
chareilloise,Chareilloise
charmeilloise,Charmeilloise
charmoise,Charmoise
charloise,Charloise
chassenardaise,Chassenardaise
castelmontbelloise,Castelmontbelloise
casteldeneuvroise,Casteldeneuvroise
chateloise,Châteloise
chatelperronaise,Châtelperronaise
castellucienne,Castellucienne
chatillonnoise,Châtillonnoise
chavenonnaise,Chavenonnaise
chavrochoise,Chavrochoise
chemillyssoise,Chemillyssoise
chevagnoise,Chevagnoise
chezelloise,Chezelloise
chezissoise,Chezissoise
chiratoise,Chiratoise
calvinienne,Calvinienne
cindreenne,Cindréenne
cognatoise,Cognatoise
colombarienne,Colombarienne
commentryenne,Commentryenne
contignyssoise,Contignyssoise
cosnoise,Cosnoise
coulandonnaise,Coulandonnaise
coulangeoise,Coulangeoise
couleuvroise,Couleuvroise
courcillotte,Courcillotte
couzonnaise,Couzonnaise
crechyssoise,Créchyssoise
cressangeoise,Cressangeoise
creuzieroise,Creuziéroise
creuzieroise,Creuziéroise
cussetoise,Cussetoise
deneuilloise,Deneuilloise
deneuilloise,Deneuilloise
biachette,Biachette
deux-chaisoise,Deux-Chaisoise
diouxoise,Diouxoise
domeratoise,Domératoise
dompierroise,Dompierroise
doyetoise,Doyetoise
droituriere,Droiturière
fiolante,Fiolante
echassieroise,Echassiéroise
escurolloise,Escurolloise
espinassoise,Espinassoise
estivareilloise,Estivareilloise
etroussatoise,Etroussatoise
farreraude,Farréraude
fleurieloise,Fleuriéloise
fourilloise,Fourilloise
franchessoise,Franchessoise
gannatoise,Gannatoise
gannaytoise,Gannaytoise
garnatoise,Garnatoise
gennetinoise,Gennetinoise
gipcycroise,Gipcycroise
givarlaisienne,Givarlaisienne
gouisarde,Gouisarde
hauterivoise,Hauterivoise
herissonnaise,Hérissonnaise
hurieloise,Huriéloise
hydoise,Hydoise
isloise,Isloise
isserpentoise,Isserpentoise
jalignoise,Jalignoise
jenzatoise,Jenzatoise
celloise,Celloise
chabannaise,Chabannaise
chapelaudoise,Chapelaudoise
chapeloise,Chapeloise
ferteenne,Fertéenne
guillermiaude,Guillermiaude
marchoise,Marchoise
lafelinoise,Lafélinoise
lalizolloise,Lalizolloise
lamaisienne,Lamaisienne
lapalissoise,Lapalissoise
prugnarde,Prugnarde
lavaultoise,Lavaultoise
lavoinaise,Lavoinaise
brethonnoise,Brethonnoise
breuilloise,Breuilloise
donjonnaise,Donjonnaise
mayetoise,Mayétoise
mayetoise,Mayetoise
montetoise,Montetoise
pinoise,Pinoise
theilloise,Theilloise
vernetoise,Vernétoise
veurdroise,Veurdroise
lenaxoise,Lenaxoise
liernollaise,Liernollaise
lignerollaise,Lignerollaise
limoisienne,Limoisienne
loddoise,Loddoise
lorigeoise,Lorigeoise
louchyssoise,Louchyssoise
