rewrite,nom_ville
guyencourt,Guyencourt
hannapes,Hannapes
happencourt,Happencourt
haramont,Haramont
harcigny,Harcigny
hargicourt,Hargicourt
harly,Harly
hartennes-et-taux,Hartennes-et-Taux
hary,Hary
hautevesnes,Hautevesnes
hauteville,Hauteville
haution,Haution
hinacourt,Hinacourt
hirson,Hirson
holnon,Holnon
homblieres,Homblières
houry,Houry
housset,Housset
iron,Iron
itancourt,Itancourt
iviers,Iviers
jaulgonne,Jaulgonne
jeancourt,Jeancourt
jeantes,Jeantes
joncourt,Joncourt
jouaignes,Jouaignes
jumencourt,Jumencourt
jumigny,Jumigny
jussy,Jussy
juvigny,Juvigny
juvincourt-et-damary,Juvincourt-et-Damary
l-epine-aux-bois,L'Epine-aux-Bois
la-bouteille,"La Bouteille"
la-capelle,"La Capelle"
la-celle-sous-montmirail,"La Celle-sous-Montmirail"
la-chapelle-monthodon,"La Chapelle-Monthodon"
la-chapelle-sur-chezy,"La Chapelle-sur-Chézy"
la-croix-sur-ourcq,"La Croix-sur-Ourcq"
la-fere,"La Fère"
la-ferte-chevresis,"La Ferté-Chevresis"
la-ferte-milon,"La Ferté-Milon"
la-flamengrie,"La Flamengrie"
la-herie,"La Hérie"
la-malmaison,"La Malmaison"
la-neuville-bosmont,"La Neuville-Bosmont"
la-neuville-en-beine,"La Neuville-en-Beine"
la-neuville-housset,"La Neuville-Housset"
la-neuville-les-dorengt,"La Neuville-lès-Dorengt"
la-selve,"La Selve"
la-vallee-au-ble,"La Vallée-au-Blé"
la-vallee-mulatre,"La Vallée-Mulâtre"
la-ville-aux-bois-les-dizy,"La Ville-aux-Bois-lès-Dizy"
la-ville-aux-bois-les-pontavert,"La Ville-aux-Bois-lès-Pontavert"
laffaux,Laffaux
laigny,Laigny
lanchy,Lanchy
landifay-et-bertaignemont,Landifay-et-Bertaignemont
landouzy-la-cour,Landouzy-la-Cour
landouzy-la-ville,Landouzy-la-Ville
landricourt,Landricourt
laniscourt,Laniscourt
laon,Laon
lappion,Lappion
largny-sur-automne,Largny-sur-Automne
latilly,Latilly
launoy,Launoy
laval-en-laonnois,Laval-en-Laonnois
lavaqueresse,Lavaqueresse
laversine,Laversine
le-catelet,"Le Catelet"
le-charmel,"Le Charmel"
lehaucourt,Lehaucourt
le-herie-la-vieville,"Le Hérie-la-Viéville"
le-nouvion-en-thierache,"Le Nouvion-en-Thiérache"
le-plessier-huleu,"Le Plessier-Huleu"
le-sourd,"Le Sourd"
le-thuel,"Le Thuel"
le-verguier,"Le Verguier"
leme,Lemé
lempire,Lempire
lerzy,Lerzy
les-autels,"Les Autels"
leschelle,Leschelle
lesdins,Lesdins
lesges,Lesges
lesquielles-saint-germain,Lesquielles-Saint-Germain
leuilly-sous-coucy,Leuilly-sous-Coucy
leury,Leury
leuze,Leuze
levergies,Levergies
lhuys,Lhuys
licy-clignon,Licy-Clignon
lierval,Lierval
liesse-notre-dame,Liesse-Notre-Dame
liez,Liez
lime,Limé
lislet,Lislet
lizy,Lizy
logny-les-aubenton,Logny-lès-Aubenton
longpont,Longpont
longueval-barbonval,Longueval-Barbonval
lor,Lor
louatre,Louâtre
loupeigne,Loupeigne
lucy-le-bocage,Lucy-le-Bocage
lugny,Lugny
luzoir,Luzoir
ly-fontaine,Ly-Fontaine
maast-et-violaine,Maast-et-Violaine
machecourt,Mâchecourt
macogny,Macogny
macquigny,Macquigny
magny-la-fosse,Magny-la-Fosse
maissemy,Maissemy
maizy,Maizy
malzy,Malzy
manicamp,Manicamp
marchais,Marchais
marchais-en-brie,Marchais-en-Brie
marcy,Marcy
marcy-sous-marle,Marcy-sous-Marle
marest-dampcourt,Marest-Dampcourt
mareuil-en-dole,Mareuil-en-Dôle
marfontaine,Marfontaine
margival,Margival
marigny-en-orxois,Marigny-en-Orxois
marizy-saint-mard,Marizy-Saint-Mard
marizy-sainte-genevieve,Marizy-Sainte-Geneviève
marle,Marle
marly-gomont,Marly-Gomont
martigny,Martigny
martigny-courpierre,Martigny-Courpierre
mauregny-en-haye,Mauregny-en-Haye
mayot,Mayot
mennessis,Mennessis
menneville,Menneville
mennevret,Mennevret
mercin-et-vaux,Mercin-et-Vaux
merlieux-et-fouquerolles,Merlieux-et-Fouquerolles
merval,Merval
mesbrecourt-richecourt,Mesbrecourt-Richecourt
mesnil-saint-laurent,Mesnil-Saint-Laurent
meurival,Meurival
mezieres-sur-oise,Mézières-sur-Oise
mezy-moulins,Mézy-Moulins
missy-aux-bois,Missy-aux-Bois
missy-les-pierrepont,Missy-lès-Pierrepont
missy-sur-aisne,Missy-sur-Aisne
molain,Molain
molinchart,Molinchart
monampteuil,Monampteuil
monceau-le-neuf-et-faucouzy,Monceau-le-Neuf-et-Faucouzy
monceau-le-waast,Monceau-le-Waast
monceau-les-leups,Monceau-lès-Leups
monceau-sur-oise,Monceau-sur-Oise
mondrepuis,Mondrepuis
monnes,Monnes
mons-en-laonnois,Mons-en-Laonnois
mont-d-origny,Mont-d'Origny
mont-notre-dame,Mont-Notre-Dame
mont-saint-jean,Mont-Saint-Jean
mont-saint-martin,Mont-Saint-Martin
mont-saint-pere,Mont-Saint-Père
montaigu,Montaigu
